Hour,Temperature(C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(C),Rainfall(mm),Snowfall (cm),Seasons,Holiday,hour diff,Functioning Day,rental_cnt
8,2.12,64,3.09,10000.0,-3.52,0.0,0.0,3,1,54224.0,1,7514
8,4.33,65,3.6,7000.0,-1.47,0.0,0.0,3,1,54104.0,1,8053
5,6.43,39,5.14,10000.0,-5.78,0.0,0.0,3,1,54293.0,1,340
13,0.3,93,1.54,3500.0,-0.61,0.0,0.0,3,1,54325.0,1,2949
21,2.81,70,1.03,10000.0,-1.87,0.0,0.0,3,1,54717.0,1,4750
4,3.68,48,1.54,10000.0,-5.59,0.0,0.0,3,1,54244.0,1,504
16,9.29,100,2.57,3000.0,9.29,1.16,0.0,3,1,54496.0,1,1207
18,-2.24,84,1.1,9150.339366515836,-4.31,0.0,0.0,3,0,54282.0,1,2668
21,0.87,100,1.54,2500.0,0.87,0.0,0.4,3,1,54645.0,1,387
2,5.6,81,0.51,8000.0,2.6,0.0,0.0,3,1,54530.0,1,407
21,3.72,81,1.54,10000.0,0.77,0.24,0.0,3,1,54165.0,1,3090
4,15.91,67,4.63,10000.0,9.8,0.15,0.0,3,1,54388.0,1,528
9,4.76,60,3.09,10000.0,-2.07,0.15,0.0,3,1,54633.0,1,3063
9,8.3,46,2.06,10000.0,-2.33,0.0,0.0,3,1,54705.0,1,4521
3,8.15,53,1.54,10000.0,-0.75,0.0,0.0,3,1,54147.0,1,637
7,13.22,58,6.69,10000.0,5.15,0.0,0.0,3,1,54367.0,1,4571
6,8.86,29,2.57,10000.0,-7.29,0.0,0.0,3,0,54342.0,1,515
7,6.38,46,3.09,10000.0,-3.89,0.0,0.0,3,1,54439.0,1,4612
6,9.81,46,1.54,10000.0,-1.1,0.0,0.0,3,1,54150.0,1,697
20,0.97,100,2.06,4000.0,0.97,0.0,0.0,3,1,54740.0,1,5189
20,3.54,81,4.63,10000.0,0.59,0.21,0.0,3,1,54164.0,1,3345
10,1.77,100,2.06,6000.0,1.77,0.0,0.39,3,1,54562.0,1,228
6,5.04,52,8.23,8000.0,-3.54,0.0,0.0,3,1,54318.0,1,386
11,3.75,75,1.54,8000.0,-0.23,0.0,0.0,3,1,54467.0,1,4438
11,5.44,93,4.63,10000.0,4.4,0.0,0.0,3,1,54515.0,1,1407
10,2.32,75,2.57,4000.0,-1.46,0.0,0.0,3,1,54322.0,1,1914
18,-2.24,84,1.1,9150.339366515836,-4.31,0.0,0.0,3,0,54282.0,1,2668
3,3.07,52,2.57,8000.0,-5.16,0.0,0.0,3,1,54243.0,1,586
20,0.97,100,2.06,4000.0,0.97,0.0,0.0,3,1,54740.0,1,5189
6,8.12,50,1.03,10000.0,-1.47,0.0,0.0,3,1,54726.0,1,2387
3,6.02,49,4.12,10000.0,-3.43,0.0,0.0,3,1,54123.0,1,1437
7,13.22,58,6.69,10000.0,5.15,0.0,0.0,3,1,54367.0,1,4571
6,1.75,75,3.09,10000.0,-1.94,0.0,0.0,3,1,54582.0,1,369
6,4.6,48,2.06,10000.0,-4.84,0.0,0.0,3,1,54246.0,1,1878
7,5.63,45,5.14,7000.0,-4.75,0.0,0.0,3,1,54295.0,1,695
15,0.37,64,2.06,10000.0,-5.0,0.0,0.0,3,1,54423.0,1,1478
15,3.47,84,4.63,10000.0,1.03,0.0,0.0,3,1,54519.0,1,1390
15,0.2,93,2.06,5000.0,-0.7,0.0,0.0,3,1,54207.0,1,3442
17,-1.03,64,1.54,10000.0,-6.3,0.0,0.0,1,1,55241.0,1,8316
13,11.4,71,1.03,10000.0,6.34,0.0,0.0,1,1,55309.0,1,7885
23,-0.33,93,0.51,3500.0,-1.21,0.0,0.0,1,1,54815.0,1,1706
16,4.39,75,6.69,5000.0,0.35,0.0,0.0,1,1,54808.0,1,3775
13,7.17,53,1.54,10000.0,-1.55,0.0,0.0,1,1,55453.0,1,1006
3,12.31,40,2.57,10000.0,-0.79,0.0,0.0,1,1,55467.0,1,943
17,8.97,42,1.54,10000.0,-2.87,0.0,0.0,1,1,55145.0,1,8408
23,5.48,65,1.54,10000.0,-0.5,0.0,0.0,1,1,55487.0,1,2806
6,9.66,37,5.14,10000.0,-3.82,0.0,0.0,1,1,55254.0,1,2860
19,4.55,60,2.06,10000.0,-2.24,0.0,0.0,1,1,55195.0,1,7524
10,4.26,65,2.57,10000.0,-1.53,0.0,0.0,1,1,54994.0,1,3379
0,3.62,65,2.57,10000.0,-2.07,0.0,0.0,1,1,54912.0,1,1757
17,2.14,86,4.12,6000.0,0.05,0.0,0.0,1,1,55073.0,1,9002
4,11.48,37,5.66,10000.0,-2.38,0.0,0.0,1,1,55060.0,1,496
13,0.63,75,2.8,9150.339366515836,-2.91,0.0,0.0,1,1,54973.0,1,5374
23,9.86,76,1.54,10000.0,5.83,0.0,0.0,1,1,55319.0,1,3309
16,1.61,87,1.03,10000.0,-0.28,0.0,0.0,1,1,55000.0,1,6613
6,16.94,16,3.09,10000.0,-8.04,0.0,0.0,1,1,55134.0,1,1066
6,15.02,51,3.6,10000.0,4.97,0.0,0.0,1,1,55398.0,1,3112
3,10.85,35,5.14,10000.0,-3.54,0.0,0.0,1,1,55059.0,1,637
14,-6.24,46,3.6,10000.0,-14.94,0.0,0.0,1,0,54782.0,1,2836
15,4.35,70,1.54,10000.0,-0.56,0.0,0.0,1,1,55455.0,1,4246
23,3.1,87,3.09,4500.0,1.15,0.0,0.0,1,1,55079.0,1,2521
9,7.39,39,4.63,10000.0,-5.01,0.0,0.0,1,1,55257.0,1,5464
17,3.42,80,3.6,10000.0,0.3,0.0,0.0,1,1,54881.0,1,8250
10,7.34,70,1.03,10000.0,2.24,0.0,0.0,1,1,55042.0,1,2054
6,10.9,46,1.54,10000.0,-0.22,0.0,0.0,1,1,54894.0,1,2829
6,9.86,40,3.6,10000.0,-2.74,0.0,0.0,1,1,55014.0,1,2775
3,13.48,44,5.66,10000.0,1.48,0.0,0.0,1,1,55347.0,1,577
13,6.76,76,1.54,7000.0,2.83,0.0,0.0,1,1,55117.0,1,5179
9,10.51,71,4.63,10000.0,5.48,0.0,0.0,1,1,55377.0,1,1045
12,3.65,70,4.63,9000.0,-1.15,0.0,0.0,1,1,54804.0,1,3458
6,-1.47,31,7.72,10000.0,-14.84,0.0,0.0,1,0,54774.0,1,703
21,1.71,100,0.51,3000.0,1.71,0.0,0.0,1,1,55125.0,1,4944
8,11.2,66,5.66,7000.0,5.09,0.0,0.0,1,1,55448.0,1,9447
6,17.77,42,4.63,10000.0,4.7,0.0,0.0,1,1,55302.0,1,1012
