,Hour,dayofweek,Temperature(C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(C),Rainfall(mm),Snowfall (cm),hour diff,isWeekend,Holiday,weather_Clouds,weather_Drizzle,weather_Dust,weather_Fog,weather_Haze,weather_Mist,weather_Rain,weather_Snow,weather_Thunderstorm,rental_cnt
556,2,2,30.61,70,3.09,10000.0,24.51,0.0,0.0,58418.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1352
557,19,3,22.38,100,1.54,4000.0,22.38,0.0,0.0,57955.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11512
558,18,2,23.67,94,3.09,3500.0,22.65,0.0,0.0,57762.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15709
559,19,0,26.46,100,5.14,10000.0,26.46,0.17,0.0,58387.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9345
560,0,5,29.79,70,3.09,10000.0,23.73,0.0,0.0,58824.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3085
561,3,5,29.01,54,1.54,10000.0,18.76,0.0,0.0,59163.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1394
562,23,0,25.62,91,2.57,10000.0,24.04,0.0,0.0,59063.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3828
563,15,0,26.47,83,4.12,10000.0,23.35,0.0,0.0,59055.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5587
564,1,5,26.47,69,2.57,10000.0,20.32,0.0,0.0,59161.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2881
565,7,3,32.83,51,3.6,10000.0,21.36,0.0,0.0,59119.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9872
566,16,5,27.18,100,2.06,10000.0,27.18,0.0,0.0,58840.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5837
567,1,4,28.42,74,3.09,10000.0,23.34,0.22,0.0,58969.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1991
568,1,4,28.43,61,3.09,10000.0,20.18,0.0,0.0,59137.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2214
569,2,4,30.28,58,3.09,10000.0,21.1,0.0,0.0,59138.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1447
570,6,5,33.68,66,3.6,10000.0,26.44,0.0,0.0,58494.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1869
571,20,6,26.07,100,1.03,10000.0,26.07,0.0,0.0,58868.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4958
572,16,6,28.19,94,0.51,10000.0,27.13,0.0,0.0,58528.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4586
573,1,1,30.85,76,0.76,9150.339366515836,26.12,0.0,0.0,58729.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1884
574,18,6,27.86,94,1.03,10000.0,26.8,0.0,0.0,58530.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5958
575,20,4,25.59,100,1.03,10000.0,25.59,0.0,0.0,58652.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7521
576,5,4,32.91,67,1.36,9150.339366515836,25.96,0.0,0.0,58637.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1867
